Column 19,Column 21,Column 23,Column 25,Column 27,Column 29,Column 31,Column 33,Column 35,Column 37,Column 39,Column 41,Column 43,Column 45,Column 47,Column 49,Column 51,Column 53,Column 55,Column 57,Column 59,Column 61,Column 63,Column 65,Column 67,Column 69,Column 71,Column 73,Column 75,Column 77,Column 79,Column 81,Column 83,Column 85
41.39440%2C2.1530,41.39440%2C2.1550,41.39440%2C2.1570,41.39440%2C2.1590,41.39440%2C2.1610,41.39440%2C2.1630,41.39440%2C2.1650,41.39440%2C2.1670,41.39440%2C2.1690,41.39440%2C2.1710,41.39440%2C2.1730,41.39440%2C2.1750,41.39440%2C2.1770,41.39440%2C2.1790,41.39440%2C2.1810,41.39440%2C2.1830,41.39440%2C2.1850,41.39440%2C2.1870,41.39440%2C2.1890,41.39440%2C2.1910,41.39440%2C2.1930,41.39440%2C2.1950,41.39440%2C2.1970,41.39440%2C2.1990,41.39440%2C2.2010,41.39440%2C2.2030,41.39440%2C2.2050,41.39440%2C2.2070,41.39440%2C2.2090,41.39440%2C2.2110,41.39440%2C2.2130,41.39440%2C2.2150,41.39440%2C2.2170,41.39440%2C2.2190
41.3960%2C2.1530,41.3960%2C2.1550,41.3960%2C2.1570,41.3960%2C2.1590,41.3960%2C2.1610,41.3960%2C2.1630,41.3960%2C2.1650,41.3960%2C2.1670,41.3960%2C2.1690,41.3960%2C2.1710,41.3960%2C2.1730,41.3960%2C2.1750,41.3960%2C2.1770,41.3960%2C2.1790,41.3960%2C2.1810,41.3960%2C2.1830,41.3960%2C2.1850,41.3960%2C2.1870,41.3960%2C2.1890,41.3960%2C2.1910,41.3960%2C2.1930,41.3960%2C2.1950,41.3960%2C2.1970,41.3960%2C2.1990,41.3960%2C2.2010,41.3960%2C2.2030,41.3960%2C2.2050,41.3960%2C2.2070,41.3960%2C2.2090,41.3960%2C2.2110,41.3960%2C2.2130,41.3960%2C2.2150,41.3960%2C2.2170,41.3960%2C2.2190
41.39760%2C2.1530,41.39760%2C2.1550,41.39760%2C2.1570,41.39760%2C2.1590,41.39760%2C2.1610,41.39760%2C2.1630,41.39760%2C2.1650,41.39760%2C2.1670,41.39760%2C2.1690,41.39760%2C2.1710,41.39760%2C2.1730,41.39760%2C2.1750,41.39760%2C2.1770,41.39760%2C2.1790,41.39760%2C2.1810,41.39760%2C2.1830,41.39760%2C2.1850,41.39760%2C2.1870,41.39760%2C2.1890,41.39760%2C2.1910,41.39760%2C2.1930,41.39760%2C2.1950,41.39760%2C2.1970,41.39760%2C2.1990,41.39760%2C2.2010,41.39760%2C2.2030,41.39760%2C2.2050,41.39760%2C2.2070,41.39760%2C2.2090,41.39760%2C2.2110,41.39760%2C2.2130,41.39760%2C2.2150,41.39760%2C2.2170,41.39760%2C2.2190
41.39920%2C2.1530,41.39920%2C2.1550,41.39920%2C2.1570,41.39920%2C2.1590,41.39920%2C2.1610,41.39920%2C2.1630,41.39920%2C2.1650,41.39920%2C2.1670,41.39920%2C2.1690,41.39920%2C2.1710,41.39920%2C2.1730,41.39920%2C2.1750,41.39920%2C2.1770,41.39920%2C2.1790,41.39920%2C2.1810,41.39920%2C2.1830,41.39920%2C2.1850,41.39920%2C2.1870,41.39920%2C2.1890,41.39920%2C2.1910,41.39920%2C2.1930,41.39920%2C2.1950,41.39920%2C2.1970,41.39920%2C2.1990,41.39920%2C2.2010,41.39920%2C2.2030,41.39920%2C2.2050,41.39920%2C2.2070,41.39920%2C2.2090,41.39920%2C2.2110,41.39920%2C2.2130,41.39920%2C2.2150,41.39920%2C2.2170,41.39920%2C2.2190
41.40080%2C2.1530,41.40080%2C2.1550,41.40080%2C2.1570,41.40080%2C2.1590,41.40080%2C2.1610,41.40080%2C2.1630,41.40080%2C2.1650,41.40080%2C2.1670,41.40080%2C2.1690,41.40080%2C2.1710,41.40080%2C2.1730,41.40080%2C2.1750,41.40080%2C2.1770,41.40080%2C2.1790,41.40080%2C2.1810,41.40080%2C2.1830,41.40080%2C2.1850,41.40080%2C2.1870,41.40080%2C2.1890,41.40080%2C2.1910,41.40080%2C2.1930,41.40080%2C2.1950,41.40080%2C2.1970,41.40080%2C2.1990,41.40080%2C2.2010,41.40080%2C2.2030,41.40080%2C2.2050,41.40080%2C2.2070,41.40080%2C2.2090,41.40080%2C2.2110,41.40080%2C2.2130,41.40080%2C2.2150,41.40080%2C2.2170,41.40080%2C2.2190
41.40240%2C2.1530,41.40240%2C2.1550,41.40240%2C2.1570,41.40240%2C2.1590,41.40240%2C2.1610,41.40240%2C2.1630,41.40240%2C2.1650,41.40240%2C2.1670,41.40240%2C2.1690,41.40240%2C2.1710,41.40240%2C2.1730,41.40240%2C2.1750,41.40240%2C2.1770,41.40240%2C2.1790,41.40240%2C2.1810,41.40240%2C2.1830,41.40240%2C2.1850,41.40240%2C2.1870,41.40240%2C2.1890,41.40240%2C2.1910,41.40240%2C2.1930,41.40240%2C2.1950,41.40240%2C2.1970,41.40240%2C2.1990,41.40240%2C2.2010,41.40240%2C2.2030,41.40240%2C2.2050,41.40240%2C2.2070,41.40240%2C2.2090,41.40240%2C2.2110,41.40240%2C2.2130,41.40240%2C2.2150,41.40240%2C2.2170,41.40240%2C2.2190
41.4040%2C2.1530,41.4040%2C2.1550,41.4040%2C2.1570,41.4040%2C2.1590,41.4040%2C2.1610,41.4040%2C2.1630,41.4040%2C2.1650,41.4040%2C2.1670,41.4040%2C2.1690,41.4040%2C2.1710,41.4040%2C2.1730,41.4040%2C2.1750,41.4040%2C2.1770,41.4040%2C2.1790,41.4040%2C2.1810,41.4040%2C2.1830,41.4040%2C2.1850,41.4040%2C2.1870,41.4040%2C2.1890,41.4040%2C2.1910,41.4040%2C2.1930,41.4040%2C2.1950,41.4040%2C2.1970,41.4040%2C2.1990,41.4040%2C2.2010,41.4040%2C2.2030,41.4040%2C2.2050,41.4040%2C2.2070,41.4040%2C2.2090,41.4040%2C2.2110,41.4040%2C2.2130,41.4040%2C2.2150,41.4040%2C2.2170,41.4040%2C2.2190
41.40560%2C2.1530,41.40560%2C2.1550,41.40560%2C2.1570,41.40560%2C2.1590,41.40560%2C2.1610,41.40560%2C2.1630,41.40560%2C2.1650,41.40560%2C2.1670,41.40560%2C2.1690,41.40560%2C2.1710,41.40560%2C2.1730,41.40560%2C2.1750,41.40560%2C2.1770,41.40560%2C2.1790,41.40560%2C2.1810,41.40560%2C2.1830,41.40560%2C2.1850,41.40560%2C2.1870,41.40560%2C2.1890,41.40560%2C2.1910,41.40560%2C2.1930,41.40560%2C2.1950,41.40560%2C2.1970,41.40560%2C2.1990,41.40560%2C2.2010,41.40560%2C2.2030,41.40560%2C2.2050,41.40560%2C2.2070,41.40560%2C2.2090,41.40560%2C2.2110,41.40560%2C2.2130,41.40560%2C2.2150,41.40560%2C2.2170,41.40560%2C2.2190
41.40720%2C2.1530,41.40720%2C2.1550,41.40720%2C2.1570,41.40720%2C2.1590,41.40720%2C2.1610,41.40720%2C2.1630,41.40720%2C2.1650,41.40720%2C2.1670,41.40720%2C2.1690,41.40720%2C2.1710,41.40720%2C2.1730,41.40720%2C2.1750,41.40720%2C2.1770,41.40720%2C2.1790,41.40720%2C2.1810,41.40720%2C2.1830,41.40720%2C2.1850,41.40720%2C2.1870,41.40720%2C2.1890,41.40720%2C2.1910,41.40720%2C2.1930,41.40720%2C2.1950,41.40720%2C2.1970,41.40720%2C2.1990,41.40720%2C2.2010,41.40720%2C2.2030,41.40720%2C2.2050,41.40720%2C2.2070,41.40720%2C2.2090,41.40720%2C2.2110,41.40720%2C2.2130,41.40720%2C2.2150,41.40720%2C2.2170,41.40720%2C2.2190
41.40880%2C2.1530,41.40880%2C2.1550,41.40880%2C2.1570,41.40880%2C2.1590,41.40880%2C2.1610,41.40880%2C2.1630,41.40880%2C2.1650,41.40880%2C2.1670,41.40880%2C2.1690,41.40880%2C2.1710,41.40880%2C2.1730,41.40880%2C2.1750,41.40880%2C2.1770,41.40880%2C2.1790,41.40880%2C2.1810,41.40880%2C2.1830,41.40880%2C2.1850,41.40880%2C2.1870,41.40880%2C2.1890,41.40880%2C2.1910,41.40880%2C2.1930,41.40880%2C2.1950,41.40880%2C2.1970,41.40880%2C2.1990,41.40880%2C2.2010,41.40880%2C2.2030,41.40880%2C2.2050,41.40880%2C2.2070,41.40880%2C2.2090,41.40880%2C2.2110,41.40880%2C2.2130,41.40880%2C2.2150,41.40880%2C2.2170,41.40880%2C2.2190
41.40960%2C2.1530,41.40960%2C2.1550,41.40960%2C2.1570,41.40960%2C2.1590,41.40960%2C2.1610,41.40960%2C2.1630,41.40960%2C2.1650,41.40960%2C2.1670,41.40960%2C2.1690,41.40960%2C2.1710,41.40960%2C2.1730,41.40960%2C2.1750,41.40960%2C2.1770,41.40960%2C2.1790,41.40960%2C2.1810,41.40960%2C2.1830,41.40960%2C2.1850,41.40960%2C2.1870,41.40960%2C2.1890,41.40960%2C2.1910,41.40960%2C2.1930,41.40960%2C2.1950,41.40960%2C2.1970,41.40960%2C2.1990,41.40960%2C2.2010,41.40960%2C2.2030,41.40960%2C2.2050,41.40960%2C2.2070,41.40960%2C2.2090,41.40960%2C2.2110,41.40960%2C2.2130,41.40960%2C2.2150,41.40960%2C2.2170,41.40960%2C2.2190
41.41040%2C2.1530,41.41040%2C2.1550,41.41040%2C2.1570,41.41040%2C2.1590,41.41040%2C2.1610,41.41040%2C2.1630,41.41040%2C2.1650,41.41040%2C2.1670,41.41040%2C2.1690,41.41040%2C2.1710,41.41040%2C2.1730,41.41040%2C2.1750,41.41040%2C2.1770,41.41040%2C2.1790,41.41040%2C2.1810,41.41040%2C2.1830,41.41040%2C2.1850,41.41040%2C2.1870,41.41040%2C2.1890,41.41040%2C2.1910,41.41040%2C2.1930,41.41040%2C2.1950,41.41040%2C2.1970,41.41040%2C2.1990,41.41040%2C2.2010,41.41040%2C2.2030,41.41040%2C2.2050,41.41040%2C2.2070,41.41040%2C2.2090,41.41040%2C2.2110,41.41040%2C2.2130,41.41040%2C2.2150,41.41040%2C2.2170,41.41040%2C2.2190
41.41120%2C2.1530,41.41120%2C2.1550,41.41120%2C2.1570,41.41120%2C2.1590,41.41120%2C2.1610,41.41120%2C2.1630,41.41120%2C2.1650,41.41120%2C2.1670,41.41120%2C2.1690,41.41120%2C2.1710,41.41120%2C2.1730,41.41120%2C2.1750,41.41120%2C2.1770,41.41120%2C2.1790,41.41120%2C2.1810,41.41120%2C2.1830,41.41120%2C2.1850,41.41120%2C2.1870,41.41120%2C2.1890,41.41120%2C2.1910,41.41120%2C2.1930,41.41120%2C2.1950,41.41120%2C2.1970,41.41120%2C2.1990,41.41120%2C2.2010,41.41120%2C2.2030,41.41120%2C2.2050,41.41120%2C2.2070,41.41120%2C2.2090,41.41120%2C2.2110,41.41120%2C2.2130,41.41120%2C2.2150,41.41120%2C2.2170,41.41120%2C2.2190
