,name,place_id,business_status,location,raiting,price_level,total_reviews,direction
0,Restaurante Can Coca,ChIJUwcqio-YpBIRranOacUHR2o,OPERATIONAL,"{'lat': 41.3730529, 'lng': 2.135068}",4.6,1.0,244,"Carrer dels Jocs Florals, 78, Barcelona"
1,Arturo,ChIJ39UxdOIVYA0RUMyAsJv1aRA,OPERATIONAL,"{'lat': 41.3733251, 'lng': 2.1362723}",4.4,2.0,782,"Carrer de Sagunt, 104, Bajo, TDA 1, Barcelona"
2,El Cullerot de Sants,ChIJ7Qm8VZ6ZpBIRoG7puuQfZ_w,OPERATIONAL,"{'lat': 41.3704642, 'lng': 2.1375112}",4.7,,371,"Carrer d'Olzinelles, 114, Barcelona"
3,La Nova Farga,ChIJOZ2164SYpBIRyYpJGLmc0zQ,OPERATIONAL,"{'lat': 41.3728023, 'lng': 2.1387138}",4.8,1.0,303,"C.d'Almeria, 31, Barcelona"
4,Restaurant Nou Isidre,ChIJgT7kPpuYpBIRF191d_D5MA4,OPERATIONAL,"{'lat': 41.370296, 'lng': 2.1387332}",4.0,1.0,106,"Carrer de Gavà, 85, Barcelona"
5,El Rinconcito del Espino,ChIJW-TUp4-YpBIRLlEDpClK2tI,OPERATIONAL,"{'lat': 41.373898, 'lng': 2.1333505}",4.3,1.0,245,"Carrer de Sant Medir, 15, Barcelona"
6,Bar Restaurante Yohemar,ChIJw9fB0-iZpBIRAeL_bgp6UqM,OPERATIONAL,"{'lat': 41.37434340000001, 'lng': 2.1354332}",5.0,,3,"C/ de Finlàndia, 18, Barcelona"
7,Can Violí,ChIJo8yDqYWYpBIRGWHUmKKVtgQ,OPERATIONAL,"{'lat': 41.3740053, 'lng': 2.1373358}",4.1,2.0,1654,"Pl. d'Ibèria, 2, Barcelona"
8,LAB Restaurant Barcelona - Laboratorio Gastronómico,ChIJC3Px8jOZpBIRelKessc6J7w,OPERATIONAL,"{'lat': 41.3732972, 'lng': 2.1372761}",4.5,,512,"C/ de Rossend Arús, 12, bajos 2, Barcelona"
9,Gurleen Barbacoa,ChIJwRN4cseZpBIRbmpHjIyvKpw,OPERATIONAL,"{'lat': 41.3702659, 'lng': 2.1376293}",4.6,,67,"Carrer d'Olzinelles, 118 BIS, Barcelona"
10,Happy Bar,ChIJmVVR3pqYpBIR3hWtgUt3-cI,OPERATIONAL,"{'lat': 41.3703039, 'lng': 2.1375809}",2.2,,5,"Carrer d'Olzinelles, 118, Barcelona"
11,El Rocoto,ChIJVVVVFYSYpBIR8o2QPs34Ruk,OPERATIONAL,"{'lat': 41.3739965, 'lng': 2.136459}",4.3,2.0,1869,"Carrer d'Olzinelles, 13, Barcelona"
12,LUTE Bar & Bowls,ChIJcXKDBo-YpBIRNixngpG6nCU,OPERATIONAL,"{'lat': 41.3742688, 'lng': 2.1331938}",4.7,1.0,964,"Carrer de Sant Medir, 9, Barcelona"
13,Cafeteria Restaurant Chusa,ChIJoZOZ24-YpBIRDG0Mv7ohC-A,OPERATIONAL,"{'lat': 41.3719201, 'lng': 2.1336589}",4.6,,5,"Carrer de la Riera de Tena, 42, Barcelona"
14,Potro's Bar Restaurant,ChIJVUTI7jaZpBIRxPMjdXdzsy0,OPERATIONAL,"{'lat': 41.369312, 'lng': 2.1392176}",4.8,,205,"Carrer de Viladecans, 5, Barcelona"
15,Korean Street Food,ChIJP9BKJOKZpBIRK9tTnUj73Tg,OPERATIONAL,"{'lat': 41.3734087, 'lng': 2.1364087}",4.7,1.0,233,"Carrer d'Olzinelles, 20, Barcelona"
16,Pizzeria Trattoria La Briciola,ChIJ2988C4WYpBIRTcpCg6Eqgk0,OPERATIONAL,"{'lat': 41.3737633, 'lng': 2.1365134}",4.4,2.0,2731,"Carrer d'Olzinelles, 19, Barcelona"
17,Bar Granja Rocxi,ChIJ3bujEo-YpBIRnnf9XDaZs5k,OPERATIONAL,"{'lat': 41.3745171, 'lng': 2.1339795}",4.5,1.0,183,"C/ de Sant Jordi, 15, Barcelona"
18,Resturente Pizzeria Bella&Bouna,ChIJLx4pl76ZpBIR9-OutEuxunc,OPERATIONAL,"{'lat': 41.3698261, 'lng': 2.1334819}",3.3,,50,"Carrer de Súria, 8, Barcelona"
19,Abarka Restaurant,ChIJ9zg6vwKZpBIRcIX3s9-yE6A,OPERATIONAL,"{'lat': 41.3740755, 'lng': 2.1391645}",4.8,,129,"Carrer del Guadiana, 28, Barcelona"
20,Arturo,ChIJ39UxdOIVYA0RUMyAsJv1aRA,OPERATIONAL,"{'lat': 41.3733251, 'lng': 2.1362723}",4.4,2.0,782,"Carrer de Sagunt, 104, Bajo, TDA 1, Barcelona"
21,Restaurante Can Coca,ChIJUwcqio-YpBIRranOacUHR2o,OPERATIONAL,"{'lat': 41.3730529, 'lng': 2.135068}",4.6,1.0,244,"Carrer dels Jocs Florals, 78, Barcelona"
22,Korean Street Food,ChIJP9BKJOKZpBIRK9tTnUj73Tg,OPERATIONAL,"{'lat': 41.3734087, 'lng': 2.1364087}",4.7,1.0,233,"Carrer d'Olzinelles, 20, Barcelona"
23,Pizzeria Trattoria La Briciola,ChIJ2988C4WYpBIRTcpCg6Eqgk0,OPERATIONAL,"{'lat': 41.3737633, 'lng': 2.1365134}",4.4,2.0,2731,"Carrer d'Olzinelles, 19, Barcelona"
24,Bar Restaurante Yohemar,ChIJw9fB0-iZpBIRAeL_bgp6UqM,OPERATIONAL,"{'lat': 41.37434340000001, 'lng': 2.1354332}",5.0,,3,"C/ de Finlàndia, 18, Barcelona"
25,Can Violí,ChIJo8yDqYWYpBIRGWHUmKKVtgQ,OPERATIONAL,"{'lat': 41.3740053, 'lng': 2.1373358}",4.1,2.0,1654,"Pl. d'Ibèria, 2, Barcelona"
26,El Rocoto,ChIJVVVVFYSYpBIR8o2QPs34Ruk,OPERATIONAL,"{'lat': 41.3739965, 'lng': 2.136459}",4.3,2.0,1869,"Carrer d'Olzinelles, 13, Barcelona"
27,El Rinconcito del Espino,ChIJW-TUp4-YpBIRLlEDpClK2tI,OPERATIONAL,"{'lat': 41.373898, 'lng': 2.1333505}",4.3,1.0,245,"Carrer de Sant Medir, 15, Barcelona"
28,La Nova Farga,ChIJOZ2164SYpBIRyYpJGLmc0zQ,OPERATIONAL,"{'lat': 41.3728023, 'lng': 2.1387138}",4.8,1.0,303,"C.d'Almeria, 31, Barcelona"
29,LAB Restaurant Barcelona - Laboratorio Gastronómico,ChIJC3Px8jOZpBIRelKessc6J7w,OPERATIONAL,"{'lat': 41.3732972, 'lng': 2.1372761}",4.5,,512,"C/ de Rossend Arús, 12, bajos 2, Barcelona"
30,LUTE Bar & Bowls,ChIJcXKDBo-YpBIRNixngpG6nCU,OPERATIONAL,"{'lat': 41.3742688, 'lng': 2.1331938}",4.7,1.0,964,"Carrer de Sant Medir, 9, Barcelona"
